Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
A->F->D,0.0061414797802940135,6.726006e-06,23.001811904023896
A->F->E->D,0.010499188332357667,9.248421e-06,11.888770849211214
A->B->E->F->D,0.009203871456719968,1.119584e-05,20.840986799043772
A->B->E->D,0.00821229639599957,7.466949e-06,12.765845637295012
A->B->C->E->F->D,0.010018899147678745,9.695064e-06,15.106035413680283
A->B->C->E->D,0.009027324086958347,8.764204e-06,18.430164163099402
A->B->F->D,0.006335632014609505,6.585009e-06,14.274035023454967
A->B->F->E->D,0.010693340566673159,1.186740e-05,19.625676484340342
A->E->F->D,0.006692420439651424,5.989166e-06,15.712769218675959
A->E->B->F->D,0.0077052003693297705,8.334560e-06,21.095892204444034
A->E->C->B->F->D,0.008520228060288548,1.356434e-05,9.650503136455155
A->E->D,0.005700845378931026,5.057109e-06,22.303374922129194
A->C->B->E,0.0056254944686409,5.318081e-06,16.280596806455637
A->C->B->F->D->E,0.01061443784796656,9.778969e-06,12.672895171811314
A->C->B->F->E,0.008106538639314488,7.958296e-06,20.12935567458454
A->C->E,0.0022773887549512027,3.414160e-06,26.316660998177248
A->F->B->E,0.00807916438167815,8.053982e-06,12.893936403878925
A->F->B->C->E,0.008894192072636926,1.317230e-05,22.036988482119632
A->F->D->E,0.009574283660651876,8.936058e-06,11.480262246416109
A->F->E,0.007066384451999804,7.036464e-06,22.24811511046664
A->B->E,0.004779492515641707,5.255204e-06,23.56793325817398
A->B->C->E,0.005594520206600484,6.093391e-06,16.56522700312526
A->B->F->D->E,0.009768435894967368,1.058386e-05,19.56506831697841
A->B->F->E,0.007260536686315296,7.025913e-06,13.434846202007641
A->E,0.002268041498573163,1.554495e-06,21.012815104098927
A->C->B->E->F,0.008300136275032927,7.958296e-06,20.12935567458454
A->C->B->E->D->F,0.010808035483684999,9.724187e-06,14.621934558964307
A->C->B->F,0.005431896832922462,5.318081e-06,16.280596806455637
A->C->E->F,0.0049520305613432285,5.182188e-06,13.881071559104463
A->C->E->B->F,0.005964810491021575,9.610177e-06,21.822186266105945
A->C->E->D->F,0.007459929769995301,1.383921e-05,21.200708054915207
A->F,0.004391742645607778,2.656827e-06,17.71041049873793
A->B->E->F,0.007454134322033732,7.025913e-06,13.434846202007641
A->B->E->D->F,0.009962033530685806,1.255467e-05,20.74809671845756
A->B->C->E->F,0.00826916201299251,8.336285e-06,19.052160207987992
A->B->C->E->D->F,0.010777061221644582,1.013433e-05,15.31818944249834
A->B->F,0.00458589487992327,5.255204e-06,23.56793325817398
A->E->F,0.004942683304965188,4.652955e-06,23.069705965089643
A->E->B->F,0.005955463234643535,5.610617e-06,15.438602184848358
A->E->C->B->F,0.006770490925602312,1.223851e-05,21.381651042004435
A->E->D->F,0.007450582513617262,6.397387e-06,15.831003329735955
B->A,0.0028389828297473024,1.995327e-06,19.45945666201961
B->E->A,0.004208551184467568,3.981411e-06,23.69491043237238
B->E->F->A,0.009006894137894208,6.840852e-06,14.160665531318685
B->E->C->A,0.004217898440845608,4.741149e-06,14.825091403080677
B->E->D->F->A,0.011514793346546282,9.112626e-06,18.161858928092
B->C->E->A,0.005023578875426345,5.513593e-06,13.560142583255457
B->C->E->F->A,0.009821921828852985,1.422936e-05,19.70070514058367
B->C->E->D->F->A,0.012329821037505058,1.865443e-05,6.329682818344544
B->C->A,0.0036849847827464957,4.278438e-06,23.991866635047934
B->F->A,0.006138654695783745,5.012787e-06,21.7198230395152
B->F->D->E->A,0.009197494563793228,9.696606e-06,20.791404282336906
B->F->D->E->C->A,0.009206841820171268,1.075220e-05,10.3066336021922
B->F->E->A,0.006689595355141156,5.738834e-06,15.898196100134312
B->F->E->C->A,0.006698942611519196,6.431332e-06,19.70976603481406
B->A->C,0.00444240091016956,5.255204e-06,23.56793325817398
B->A->F->D->E->C,0.013087237164928123,1.138653e-05,15.786891349615997
B->A->F->E->C,0.01057933795627605,1.031389e-05,21.567444427924997
B->A->E->C,0.00578099500284941,6.093391e-06,16.56522700312526
B->E->A->C,0.0058119692648898255,5.318081e-06,16.280596806455637
B->E->F->A->C,0.010610312218316466,1.003219e-05,20.707701259354714
B->E->C,0.002614480360423349,3.414160e-06,26.316660998177248
B->E->D->F->A->C,0.01311821142696854,1.048604e-05,15.269017240998227
B->C,0.0020815667023242374,1.554495e-06,21.012815104098927
B->F->A->C,0.007742072776206003,6.362012e-06,16.476867192558892
B->F->A->E->C,0.009080666868885852,7.967018e-06,21.66187656228476
B->F->D->E->A->C,0.010800912644215486,1.102693e-05,12.151279687322997
B->F->D->E->C,0.00760342373974901,9.426856e-06,22.868152283381352
B->F->E->A->C,0.008293013435563414,8.015049e-06,20.707932919584735
B->F->E->C,0.005095524531096937,4.860758e-06,18.573612171512302
B->A->C->E->F->D,0.009540750525776766,9.631765e-06,14.829764309697362
B->A->C->E->D,0.008549175465056368,8.704472e-06,18.764583957249343
B->A->F->D,0.008980462610041316,7.741394e-06,14.850791310635854
B->A->F->E->D,0.01333817116210497,1.147692e-05,18.491592996850606
B->A->E->F->D,0.009531403269398726,1.082376e-05,20.683051423090184
B->A->E->D,0.008539828208678327,7.635110e-06,12.973843783983746
B->E->A->F->D,0.010350030964761581,1.018852e-05,20.893553957093395
B->E->F->D,0.006364888626972666,5.518667e-06,16.372810365713942
B->E->C->A->F->D,0.010359378221139621,1.194327e-05,12.092081019450205
B->E->D,0.0053733135662522675,4.590687e-06,22.4189025716783
B->C->E->A->F->D,0.011165058655720358,1.440007e-05,10.670228483683083
B->C->E->F->D,0.007179916317931443,1.349056e-05,21.211642990648862
B->C->E->D,0.006188341257211044,6.175266e-06,12.41033100447508
B->C->A->F->D,0.00982646456304051,1.164587e-05,20.922385328347936
B->C->A->F->E->D,0.014184173115104164,1.413652e-05,9.741302480761483
B->C->A->E->F->D,0.01037740522239792,1.057571e-05,12.938617059884505
B->C->A->E->D,0.009385830161677522,9.637371e-06,19.80753138412848
B->F->A->C->E->D,0.01184884733109281,9.823426e-06,11.978361183306333
B->F->A->E->D,0.01183950007471477,9.323692e-06,18.367134584952915
B->F->D,0.003496649184862203,3.792326e-06,24.210943067570213
B->F->E->D,0.007854357736925856,6.399914e-06,14.767089826610695
B->A->C->E,0.005116371584698505,5.924760e-06,16.382391273704165
B->A->F->D->E,0.012413266490399179,1.068824e-05,18.243061201439957
B->A->F->E,0.009905367281747107,8.181879e-06,14.052727986363243
B->A->E,0.005107024328320465,5.422019e-06,23.127500007318083
B->E,0.0019405096858944046,1.334189e-06,21.98125356990033
B->C->E,0.0027555373768531817,3.966723e-06,25.969899875010878
B->C->A->F->D->E,0.013259268443398373,1.385515e-05,9.2708908414565
B->C->A->F->E,0.0107513692347463,1.192569e-05,20.26154241304143
B->C->A->E,0.005953026281319659,5.830979e-06,14.966574825499867
B->F->A->C->E,0.008416043450734947,7.609833e-06,21.556364059050264
B->F->A->E,0.008406696194356907,6.581900e-06,16.024580063064175
B->F->D->E,0.006929453065220066,6.008131e-06,14.48371256779401
B->F->E,0.004421553856567993,4.179501e-06,23.231031416880967
B->A->C->E->F,0.007791013391090531,8.279663e-06,19.386477770003168
B->A->C->E->D->F,0.010298912599742603,1.006576e-05,15.042952247474739
B->A->F,0.00723072547535508,6.402779e-06,21.430759222388996
B->A->E->F,0.007781666134712491,7.194112e-06,13.636820954259434
B->A->E->D->F,0.010289565343364563,1.200835e-05,20.63659928600883
B->E->A->F,0.008600293830075345,6.640494e-06,14.036758435001026
B->E->F,0.00461515149228643,4.179501e-06,23.231031416880967
