Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
D->F->A->B->E->C,0.011594942970464666,1.013871e-05,15.100784266522576
D->F->A->B->C,0.011062029312365553,9.652732e-06,19.343222932974978
D->F->A->E->B->C,0.012431597667085816,1.032301e-05,13.537441719551316
D->F->A->E->C,0.00908349195339612,8.266147e-06,21.501803087135123
D->F->B->A->C,0.007939050095031763,9.571017e-06,20.96424798763046
D->F->B->A->E->C,0.009277644187711613,1.040004e-05,14.01559942466821
D->F->B->E->A->C,0.009308618449752028,9.491848e-06,13.536768760735299
D->F->B->E->C,0.006111129545285552,7.641651e-06,22.817627884249934
D->F->B->C,0.00557821588718644,5.540228e-06,15.265562360864974
D->F->E->A->C,0.008295838520073684,8.361639e-06,20.524080284623754
D->F->E->A->B->C,0.011612969971722963,1.051888e-05,13.507979470467742
D->F->E->B->A->C,0.010807289537142228,9.885332e-06,14.387198494129672
D->F->E->B->C,0.008446455329296904,8.125333e-06,20.039144737649508
D->F->E->C,0.005098349615607206,5.044955e-06,18.184209527618492
D->E,0.003432803880357863,2.215805e-06,18.587921419937818
D->F->A->C->B->E,0.011766974248934914,9.970760e-06,14.602378736100015
D->F->A->C->E,0.008418868535245216,7.885558e-06,21.401791438090044
D->F->A->B->E,0.010920972295935721,9.458146e-06,19.736384224304565
D->F->A->B->C->E,0.011735999986894497,1.033770e-05,15.32109402011212
D->F->A->E,0.008409521278867176,6.757725e-06,15.682218366276746
D->F->B->A->C->E,0.008613020769560708,1.024057e-05,13.777986138882575
D->F->B->A->E,0.00860367351318267,9.728663e-06,20.588578393798024
D->F->B->E,0.0054371588707566075,5.319922e-06,15.746505039376995
D->F->B->C->E,0.006252186561715384,8.250855e-06,22.789229548377918
D->F->B->C->A->E,0.009449675466181862,1.005543e-05,12.372112859559453
D->F->E,0.004424378941078262,4.363698e-06,23.043729139646956
D->E->A->C->B->F,0.011132742211853489,1.250965e-05,11.680221862714157
D->E->A->F,0.010092588024538805,8.923131e-06,11.563398616939466
D->E->A->B->F,0.010286740258854295,1.315463e-05,20.240643248378717
D->E->F,0.006107445686749889,6.439198e-06,22.31627880380053
D->E->B->A->F,0.012604039041607349,1.476391e-05,18.76475284523823
D->E->B->C->A->F,0.013450040994606541,1.483157e-05,8.747261479677126
D->E->B->F,0.007120225616428234,7.449974e-06,13.321688936080227
D->E->C->B->A->F,0.013419066732566124,2.162016e-05,6.234872672683709
D->E->C->B->F,0.007935253307387011,1.893130e-05,20.14473518506516
D->E->C->A->F,0.010101935280916843,1.741092e-05,18.924219028632464
D->E->C->A->B->F,0.010296087515232335,1.830488e-05,8.541897124410907
D->F,0.001749737134686236,1.334189e-06,21.753383674000887
E->A,0.002268041498573163,1.554495e-06,20.784945208199485
E->F->A,0.007066384451999804,6.196701e-06,21.356734550542793
E->F->B->A,0.007260536686315295,7.042716e-06,13.196602643913327
E->F->B->C->A,0.008106538639314488,1.033479e-05,20.719428389138805
E->B->A,0.004779492515641707,4.564537e-06,22.632204102747032
E->B->C->A,0.0056254944686409,5.506116e-06,15.901823487544588
