Paths,1,2,3,4,5,6,7,8,9,10
C->B->A->E->F,0,0,1,1,1,1,1,1,1,1
C->B->A->E->D->F,0,0,1,1,1,1,1,1,1,0
C->B->E->A->F,0,0,1,1,1,1,1,1,1,1
C->B->E->F,0,0,1,1,1,1,1,1,1,1
C->B->E->D->F,0,0,1,1,1,1,1,1,1,1
C->B->F,0,0,1,1,1,1,1,1,1,1
C->E->A->F,0,0,0,1,1,1,1,1,1,1
C->E->A->B->F,0,0,0,1,1,1,1,1,1,1
C->E->F,0,0,0,1,1,1,1,1,1,0
C->E->B->A->F,0,0,0,1,1,1,1,1,1,1
C->E->B->F,0,0,0,1,1,1,1,1,1,1
C->E->D->F,0,0,0,1,1,1,1,1,1,1
C->A->F,0,1,1,1,1,1,1,1,1,1
C->A->B->E->F,0,0,1,1,1,1,1,1,1,1
C->A->B->E->D->F,0,0,1,1,1,1,1,1,1,1
C->A->B->F,0,0,1,1,1,1,1,1,1,1
C->A->E->F,0,0,1,1,1,1,1,1,1,1
C->A->E->B->F,0,0,1,1,1,1,1,1,1,1
C->A->E->D->F,0,0,1,1,1,1,1,1,1,0
D->E->A,0,0,0,1,1,1,1,1,1,1
D->E->F->A,0,0,0,1,1,1,1,1,1,1
D->E->F->B->A,0,0,0,1,1,1,1,1,1,1
D->E->F->B->C->A,0,0,0,1,1,1,1,1,1,1
D->E->B->A,0,0,0,1,1,1,1,1,1,1
D->E->B->C->A,0,0,0,1,1,1,1,1,1,1
D->E->B->F->A,0,0,0,1,1,1,1,1,1,1
D->E->C->B->A,0,0,0,1,1,1,1,1,1,0
D->E->C->B->F->A,0,0,0,1,1,1,1,1,1,0
D->E->C->A,0,0,0,1,1,1,1,1,1,0
D->F->A,0,0,1,1,1,1,1,1,1,1
D->F->B->A,0,0,1,1,1,1,1,1,1,1
D->F->B->E->A,0,0,1,1,1,1,1,1,1,1
D->F->B->E->C->A,0,0,0,1,1,1,1,1,1,1
D->F->B->C->E->A,0,0,0,1,1,1,1,1,1,1
D->F->B->C->A,0,0,1,1,1,1,1,1,1,1
D->F->E->A,0,0,0,1,1,1,1,1,1,1
D->F->E->B->A,0,0,0,1,1,1,1,1,1,1
D->F->E->B->C->A,0,0,0,1,1,1,1,1,1,1
D->F->E->C->B->A,0,0,0,1,1,1,1,1,1,1
D->F->E->C->A,0,0,0,1,1,1,1,1,1,1
D->E->A->C->B,0,0,0,1,1,1,1,1,1,1
D->E->A->F->B,0,0,0,1,1,1,1,1,1,1
D->E->A->B,0,0,0,1,1,1,1,1,1,1
D->E->F->A->C->B,0,0,0,1,1,1,1,1,1,1
D->E->F->A->B,0,0,0,1,1,1,1,1,1,1
D->E->F->B,0,0,0,1,1,1,1,1,1,1
D->E->B,0,0,0,1,1,1,1,1,1,1
D->E->C->B,0,0,0,1,1,1,1,1,1,0
D->E->C->A->F->B,0,0,0,1,1,1,1,1,1,0
D->E->C->A->B,0,0,0,1,1,1,1,1,1,0
D->F->A->C->B,0,0,1,1,1,1,1,1,1,1
D->F->A->C->E->B,0,0,0,1,1,1,1,1,1,1
D->F->A->B,0,0,1,1,1,1,1,1,1,1
D->F->A->E->B,0,0,1,1,1,1,1,1,1,1
D->F->A->E->C->B,0,0,0,1,1,1,1,1,1,1
D->F->B,0,0,1,1,1,1,1,1,1,1
D->F->E->A->C->B,0,0,0,1,1,1,1,1,1,1
D->F->E->A->B,0,0,0,1,1,1,1,1,1,1
D->F->E->B,0,0,0,1,1,1,1,1,1,1
D->F->E->C->B,0,0,0,1,1,1,1,1,1,1
D->F->E->C->A->B,0,0,0,1,1,1,1,1,1,1
D->E->A->C,0,0,0,1,1,1,1,1,1,1
D->E->A->F->B->C,0,0,0,1,1,1,1,1,1,1
D->E->A->B->C,0,0,0,1,1,1,1,1,1,1
D->E->F->A->C,0,0,0,1,1,1,1,1,1,1
D->E->F->A->B->C,0,0,0,1,1,1,1,1,1,1
D->E->F->B->A->C,0,0,0,1,1,1,1,1,1,1
D->E->F->B->C,0,0,0,1,1,1,1,1,1,1
D->E->B->A->C,0,0,0,1,1,1,1,1,1,1
D->E->B->C,0,0,0,1,1,1,1,1,1,1
D->E->B->F->A->C,0,0,0,1,1,1,1,1,1,1
D->E->C,0,0,0,1,1,1,1,1,1,0
D->F->A->C,0,0,1,1,1,1,1,1,1,1
D->F->A->B->E->C,0,0,0,1,1,1,1,1,1,1
D->F->A->B->C,0,0,1,1,1,1,1,1,1,1
D->F->A->E->B->C,0,0,1,1,1,1,1,1,1,1
D->F->A->E->C,0,0,0,1,1,1,1,1,1,1
D->F->B->A->C,0,0,1,1,1,1,1,1,1,1
D->F->B->A->E->C,0,0,0,1,1,1,1,1,1,1
D->F->B->E->A->C,0,0,1,1,1,1,1,1,1,1
D->F->B->E->C,0,0,0,1,1,1,1,1,1,1
D->F->B->C,0,0,1,1,1,1,1,1,1,1
D->F->E->A->C,0,0,0,1,1,1,1,1,1,1
D->F->E->A->B->C,0,0,0,1,1,1,1,1,1,1
D->F->E->B->A->C,0,0,0,1,1,1,1,1,1,1
D->F->E->B->C,0,0,0,1,1,1,1,1,1,1
D->F->E->C,0,0,0,1,1,1,1,1,1,1
D->E,0,0,0,1,1,1,1,1,1,1
D->F->A->C->B->E,0,0,1,1,1,1,1,1,1,1
D->F->A->C->E,0,0,0,1,1,1,1,1,1,1
D->F->A->B->E,0,0,1,1,1,1,1,1,1,1
D->F->A->B->C->E,0,0,0,1,1,1,1,1,1,1
D->F->A->E,0,0,1,1,1,1,1,1,1,1
D->F->B->A->C->E,0,0,0,1,1,1,1,1,1,1
D->F->B->A->E,0,0,1,1,1,1,1,1,1,1
D->F->B->E,0,0,1,1,1,1,1,1,1,1
D->F->B->C->E,0,0,0,1,1,1,1,1,1,1
D->F->B->C->A->E,0,0,1,1,1,1,1,1,1,1
D->F->E,0,0,0,1,1,1,1,1,1,1
D->E->A->C->B->F,0,0,0,1,1,1,1,1,1,1
D->E->A->F,0,0,0,1,1,1,1,1,1,1
D->E->A->B->F,0,0,0,1,1,1,1,1,1,1
D->E->F,0,0,0,1,1,1,1,1,1,1
D->E->B->A->F,0,0,0,1,1,1,1,1,1,1
D->E->B->C->A->F,0,0,0,1,1,1,1,1,1,1
D->E->B->F,0,0,0,1,1,1,1,1,1,1
D->E->C->B->A->F,0,0,0,1,1,1,1,1,1,0
D->E->C->B->F,0,0,0,1,1,1,1,1,1,0
D->E->C->A->F,0,0,0,1,1,1,1,1,1,0
D->E->C->A->B->F,0,0,0,1,1,1,1,1,1,0
D->F,0,0,1,1,1,1,1,1,1,1
E->A,0,0,1,1,1,1,1,1,1,1
E->F->A,0,0,1,1,1,1,1,1,1,1
E->F->B->A,0,0,1,1,1,1,1,1,1,1
E->F->B->C->A,0,0,1,1,1,1,1,1,1,1
E->B->A,0,1,1,1,1,1,1,1,1,1
E->B->C->A,0,1,1,1,1,1,1,1,1,1
E->B->F->A,0,0,1,1,1,1,1,1,1,1
E->C->B->A,0,0,0,1,1,1,1,1,1,1
E->C->B->F->A,0,0,0,1,1,1,1,1,1,1
E->C->A,0,0,0,1,1,1,1,1,1,1
E->D->F->A,0,0,1,1,1,1,1,1,1,1
E->D->F->B->A,0,0,1,1,1,1,1,1,1,1
E->D->F->B->C->A,0,0,1,1,1,1,1,1,1,1
E->A->C->B,0,0,1,1,1,1,1,1,1,1
E->A->F->B,0,0,1,1,1,1,1,1,1,1
E->A->B,0,0,1,1,1,1,1,1,1,1
E->F->A->C->B,0,0,1,1,1,1,1,1,1,1
E->F->A->B,0,0,1,1,1,1,1,1,1,1
E->F->B,0,0,1,1,1,1,1,1,1,1
E->B,0,1,1,1,1,1,1,1,1,1
E->C->B,0,0,0,1,1,1,1,1,1,1
E->C->A->F->B,0,0,0,1,1,1,1,1,1,1
E->C->A->B,0,0,0,1,1,1,1,1,1,1
E->D->F->A->C->B,0,0,1,1,1,1,1,1,1,1
E->D->F->A->B,0,0,1,1,1,1,1,1,1,1
E->D->F->B,0,0,1,1,1,1,1,1,1,1
E->A->C,0,0,1,1,1,1,1,1,1,1
E->A->F->B->C,0,0,1,1,1,1,1,1,1,1
E->A->B->C,0,0,1,1,1,1,1,1,1,1
E->F->A->C,0,0,1,1,1,1,1,1,1,1
E->F->A->B->C,0,0,1,1,1,1,1,1,1,1
E->F->B->A->C,0,0,1,1,1,1,1,1,1,1
E->F->B->C,0,0,1,1,1,1,1,1,1,1
E->B->A->C,0,1,1,1,1,1,1,1,1,1
E->B->C,0,1,1,1,1,1,1,1,1,1
E->B->F->A->C,0,0,1,1,1,1,1,1,1,1
E->C,0,0,0,1,1,1,1,1,1,1
E->D->F->A->C,0,0,1,1,1,1,1,1,1,1
E->D->F->A->B->C,0,0,1,1,1,1,1,1,1,1
E->D->F->B->A->C,0,0,1,1,1,1,1,1,1,1
E->D->F->B->C,0,0,1,1,1,1,1,1,1,1
E->A->C->B->F->D,0,0,1,1,1,1,1,1,1,1
E->A->F->D,0,0,1,1,1,1,1,1,1,1
E->A->B->F->D,0,0,1,1,1,1,1,1,1,1
E->F->D,0,0,1,1,1,1,1,1,1,1
E->B->A->F->D,0,0,1,1,1,1,1,1,1,1
E->B->C->A->F->D,0,0,1,1,1,1,1,1,1,1
E->B->F->D,0,0,1,1,1,1,1,1,1,1
E->C->B->A->F->D,0,0,0,1,1,1,1,1,1,1
E->C->B->F->D,0,0,0,1,1,1,1,1,1,1
E->C->A->F->D,0,0,0,1,1,1,1,1,1,1
E->C->A->B->F->D,0,0,0,1,1,1,1,1,1,1
E->D,0,0,1,1,1,1,1,1,1,1
E->A->C->B->F,0,0,1,1,1,1,1,1,1,1
E->A->F,0,0,1,1,1,1,1,1,1,1
E->A->B->F,0,0,1,1,1,1,1,1,1,1
E->F,0,0,1,1,1,1,1,1,1,1
E->B->A->F,0,1,1,1,1,1,1,1,1,1
E->B->C->A->F,0,1,1,1,1,1,1,1,1,1
E->B->F,0,0,1,1,1,1,1,1,1,1
E->C->B->A->F,0,0,0,1,1,1,1,1,1,1
E->C->B->F,0,0,0,1,1,1,1,1,1,1
E->C->A->F,0,0,0,1,1,1,1,1,1,1
E->C->A->B->F,0,0,0,1,1,1,1,1,1,1
E->D->F,0,0,1,1,1,1,1,1,1,1
F->A,0,1,1,1,1,1,1,1,1,1
F->B->A,0,0,1,1,1,1,1,1,1,1
F->B->E->A,0,0,1,1,1,1,1,1,1,1
F->B->E->C->A,0,0,0,1,1,1,1,1,1,1
F->B->C->E->A,0,0,0,1,1,1,1,1,1,1
F->B->C->A,0,0,1,1,1,1,1,1,1,1
F->D->E->A,0,0,0,1,1,1,1,1,1,1
F->D->E->B->A,0,0,0,1,1,1,1,1,1,1
F->D->E->B->C->A,0,0,0,1,1,1,1,1,1,1
F->D->E->C->B->A,0,0,0,1,1,1,1,1,1,0
F->D->E->C->A,0,0,0,1,1,1,1,1,1,0
F->E->A,0,0,0,1,1,1,1,1,1,1
F->E->B->A,0,1,0,1,1,1,1,1,1,1
F->E->B->C->A,0,1,0,1,1,1,1,1,1,1
F->E->C->B->A,0,0,0,1,1,1,1,1,1,1
F->E->C->A,0,0,0,1,1,1,1,1,1,1
F->A->C->B,0,1,1,1,1,1,1,1,1,1
F->A->C->E->B,0,0,0,1,1,1,1,1,1,1
F->A->B,0,1,1,1,1,1,1,1,1,1
F->A->E->B,0,0,1,1,1,1,1,1,1,1
F->A->E->C->B,0,0,0,1,1,1,1,1,1,1
F->B,0,0,1,1,1,1,1,1,1,1
F->D->E->A->C->B,0,0,0,1,1,1,1,1,1,1
F->D->E->A->B,0,0,0,1,1,1,1,1,1,1
F->D->E->B,0,0,0,1,1,1,1,1,1,1
F->D->E->C->B,0,0,0,1,1,1,1,1,1,0
F->D->E->C->A->B,0,0,0,1,1,1,1,1,1,0
F->E->A->C->B,0,0,0,1,1,1,1,1,1,1
F->E->A->B,0,0,0,1,1,1,1,1,1,1
F->E->B,0,1,0,1,1,1,1,1,1,1
F->E->C->B,0,0,0,1,1,1,1,1,1,1
F->E->C->A->B,0,0,0,1,1,1,1,1,1,1
F->A->C,0,1,1,1,1,1,1,1,1,1
F->A->B->E->C,0,0,0,1,1,1,1,1,1,1
F->A->B->C,0,1,1,1,1,1,1,1,1,1
F->A->E->B->C,0,0,1,1,1,1,1,1,1,1
F->A->E->C,0,0,0,1,1,1,1,1,1,1
F->B->A->C,0,0,1,1,1,1,1,1,1,1
F->B->A->E->C,0,0,0,1,1,1,1,1,1,1
F->B->E->A->C,0,0,1,1,1,1,1,1,1,1
F->B->E->C,0,0,0,1,1,1,1,1,1,1
F->B->C,0,0,1,1,1,1,1,1,1,1
F->D->E->A->C,0,0,0,1,1,1,1,1,1,1
F->D->E->A->B->C,0,0,0,1,1,1,1,1,1,1
F->D->E->B->A->C,0,0,0,1,1,1,1,1,1,1
F->D->E->B->C,0,0,0,1,1,1,1,1,1,1
